FHBM1014|PRINCIPLES OF ECONOMICS
FHBM1024|MICROECONOMICS AND MARCROECONOMICS
FHBM1114|MANAGEMENT
FHBM1124|MARKETING
FHCT1012|COMPUTING TECHNOLOGY
FHCT1014|INTRODUCTION TO DATA ANALYTICS
FHCT1022|PROGRAMMING CONCEPTS
FHCT1024|PROGRAMMING CONCEPTS AND DESIGN
FHEL1012|ENGLISH FOR ACADEMIC STUDY
FHEL1024|ACADEMIC ENGLISH
FHEL1114|ENGLISH LANGUAGE PROFICIENCY
FHEL1134|ENGLISH FOR BUSINESS COMMUNICATION
FHHM1012|CRITICAL THINKING
FHHM1022|EFFECTIVE COMMUNICATION SKILLS
FHHM1114|INTRODUCTION TO SOCIOLOGY
FHHM1124|SOCIALIZATION AS A PROCESS
FHHM1134|INTRODUCTION TO SOCIAL PSYCHOLOGY
FHMM1014|MATHEMATICS I
FHMM1024|MATHEMATICS II
FHMM1034|MATHEMATICS III
FHMM1214|MATHEMATICS FOR SOCIAL SCIENCE
FHSB1214|BIOLOGY I
FHSB1224|BIOLOGY II
FHSC1014|MECHANICS
FHSC1024|THERMODYNAMICS AND ELECTROMAGNETISM
FHSC1034|WAVES AND MODERN PHYSICS
FHSC1114|PHYSICAL CHEMISTRY
FHSC1124|ORGANIC CHEMISTRY
FHSC1134|INORGANIC CHEMISTRY
